official_id,official_name,official_branch,official_province,official_address,official_latitude,official_longitude,official_url,official_about
15,Hermina Palembang,Palembang,SUMATERA SELATAN,"Hermina Palembang Hospital, Jalan Jendral Basuki Rachmat, Pahlawan, Palembang City, South Sumatra, Indonesia",-2.955308800000001,104.7483291,,"RS Hermina Palembang dibangun pada tahun 2011, yang menyediakan layanan khusus obgyn, pediatrik dan perawatan kecantikan. Rumah sakit ini memiliki 150 tempat tidur, termasuk fasilitas ICU, PICU, NICU, Hemodialisis, Kemoterapi, Bobath, dan Sperm Washing."
8,Hermina Pandanaran,Pandanaran,JAWA TENGAH,"Hermina Pandanaran Hospital, Jalan Pandanaran, Pekunden, Semarang City, Central Java, Indonesia",-6.985675,110.4126031,,"RS Hermina Pandanaran Berdiri pada Tahun 2005 sebagai RSIA, Tahun 2009 berkembang menjadi Rumah Sakit Umum yang berlokasi strategis di tengah kota Semarang.  Terletak di salah satu jalan paling strategis di Kota Semarang, rumah sakit ini menjadi pilihan keluarga setempat sejak pendiriannya pada tahun 2005. Rumah sakit berkapasitas 150 tempat tidur. RSU Hermina Pandanaran memiliki Klinik Infertilitas yang telah didukung dengan pelayanan dokter ahli di bidangnya (Dokter spesialis kandungan konsultas fertilitas dan Dokter spesialis Andrologi), sehingga dapat membantu pasangan suami istri memiliki keturunan dengan memberikan pelayanan teknologi reproduksi terkini."
7,Hermina Pasteur,Pasteur,JAWA BARAT,"Hermina Pasteur Hospital, Jalan Doktor Djunjunan, Pasteur, Bandung City, West Java, Indonesia",-6.895915,107.5888756,,"Pada tahun 2004, RS Hermina Pasteur memulai beroperasi. Rumah sakit ini menawarkan produk yang unik, Terapi Bobath, sebagai konsep penanganan pasien dengan disfungsi motorik, sensorik, persepsi dan kognitif karena kelainan sistem saraf pusat. Bayi dan anak-anak dengan sejarah infeksi atau pendarahan berulang dalam kehamilan dapat mengalami masalah tersebut. Layanan lain di RS Hermina Pasteur adalah perawatan untuk mengurangi spastisitas (kekakuan otot) akibat penyakit lain, dan layanan ortotik anak. Juga tersedia fasilitas lainnya, seperti Fetomaternal, Kemoterapi, KTK, Bobath, dan Klinik Geriatri."
54,Hermina Pasuruan,https://herminahospitals.com/id/branch/hermina-pasuruan,JAWA TIMUR,"8WMP+J72, Jl raya Probolinggo, Sambirejo, Kec. Rejoso, Pasuruan ",-7.665753730278198,112.93571384877026,,
33,Hermina Pekalongan,Hermina Pekalongan,JAWA TENGAH,"RS Hermina Pekalongan, Jalan Jendral Sudirman No.16a, RW.6, Podosugih, Pekalongan Barat",-6.898524000000001,109.6675772,,"RS HERMINA PEKALONGAN
Rumah Sakit Hermina Pekalongan berlokasi di Jalan Jendral Sudirman No 16 A Kecamatan Podosugih, Kabupaten Pekalongan, berdiri sejak bulan Nopember 2019. Rumah Sakit Hermina Pekalongan menyediakan pelayanan rawat jalan, rawat inap dengan kapasitas 64 tempat tidur kamar perawatan dan pelayanan intensif sebanyak 9 tempat tidur dan pelayanan penunjang medis.


Fasilitas dan Pelayanan Kami,
Rawat Jalan
IGD 24 Jam
Poliklinik Spesialis
- Anak
- Kebidanan dan Kandungan
- Saraf
- Jiwa
- Penyakit Dalam
- Paru
- Jantung
- THT
- Kulit dan Kelamin
- Bedah Ortopedi
- Bedah Umum
- Bedah Mulut
- Gigi Periodonsia
- Rehabmedik
- Mata
Medical Check Up 
Klinik Laktasi
Klinik Tumbuh Kembang
Fisioterapi

Rawat Inap
Perawatan Umum
Perawatan Intensive
Kamar Bersalin
Kamar Operasi
Penunjang Medis
Instalasi Farmasi
Laboratorium
Radiologi

Pelayanan Unggulan
Perinatologi
Intensive Care Anak (NICU/ PICU)

Contact Person :
0821 3678 9255 (Riska)
0857 2855 5844 (Yusril)"
34,Hermina Pekanbaru,pekanbaru,RIAU,"Jl. Tuanku Tambusai No.Rt03/02, Delima, Kec. Tampan, Kota Pekanbaru, Riau 28292",0.499197,101.4125204,,
40,Hermina Periuk Tangerang,Periuk Tangerang,BANTEN,"Jl Moh. Toha Kp Nagrak RT 004/006 , Kec. Periuk , Tangerang",-6.158098499999999,106.5996595,,"Rumah Sakit Hermina Periuk Tangerang di bangun pada 5 Desember tahun 2020 , Terletak di kota Tangerang Jl Moh. Toha Kp Nagrak Rt 004/006 , Rumah Sakit ini adalah salah satu rumah sakit unggulan di daerah tersebut yang memiliki bangunan 4 lantai dengan fasilitas unggulan Poliklinik Bedah."
27,Hermina Podomoro,Podomoro,DKI JAKARTA,"Hermina Hospital Podomoro, Jalan Danau Agung 2, RT.3/RW.16, Sunter Agung, North Jakarta City, Jakarta, Indonesia",-6.145455000000001,106.861856,,"Untuk mengantisipasi pertumbuhan penduduk Jakarta yang lebih tinggi, Rumah Sakit Hermina dibuka lagi di kawasan Podomoro pada 2017. Dibangun dengan 4 lantai dan 101 tempat tidur."
30,Hermina Purwokerto,Purwokerto,JAWA TENGAH,"Hermina Hospital, RS Hermina, Jl. Yos Soedarso, Karanglewas Lor, Purwokerto Bar., Banyumas, Central Java, Indonesia",-7.421002400000001,109.2026341,,"Rumah Sakit Hermina Purwokerto Grand Opening pada tanggal 08 Februari 2018, 2 Gedung dengan Gedung 1 memiliki 7 lantai dan Gedung 2 memiliki 4 lantaidengan kapasitas 152 tempat tidur. Rumah sakit ini menyediakan layanan Obstetri, Ginekologi dan Pediatri, Penyakit lain-lain dengan produk unggulan Gigi Spesialistik, Klinik Tumbuh Kembang, Perina, NICU, PICU, ICU, Emergensi Medisin, dan Kedokteran Okupasi."
60,Hermina Salatiga,Hermina Salatiga,JAWA TENGAH,"PF2M+C93, Jl. Blotongan, Blotongan, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50715 ",-7.298965488731559,110.48339923002797,,"RS Hermina Salatiga Merupakan Rumah Sakit Hermina Cabang Ke 52 yang berlokasi di Jalan fatmawati, Kelurahan Blotongan, Kecamatan Sidorejo, Kota Semarang, Jawa Tengah. Diresmikan pada Bulan Desember 2025, RS Hermina Salatiga Mempunyai 100 Tempat tidur. Berfokus pada pelayanan Ibu, Anak dan Umum, Memiliki Dokter Spesialis kandungan, Dokter Spesialis anak,Dokter Spesialis Penyakit Dalam, Dokter Spesialis Paru, Dokter Spesialis Jantung, Dokter Spesialis Kulit dan Kelamin, Dokter Spesialis Klinik Gizi, Dokter Spesialis Saraf, Dokter Spesialis Mata, Dokter Spesialis THT, Dokter Spesialis Bedah Umum, Dokter Spesialis Orthopedi, Dokter Spesialis Rehabilitasi Medis,Dokter Spesialis Bedah Gigi,dan Dokter gigi Umum Di dukung oleh Penunjang medis seperti Farmasi, Laboratorium, Radiologi, dan fisioterapi."
28,Hermina Samarinda,Samarinda,KALIMANTAN TIMUR,"Hermina Samarinda Hospital, Jalan Teuku Umar, Karang Asam Ilir, Samarinda City, East Kalimantan, Indonesia",-0.5071492,117.1091961,,"Rumah sakit Hermina baru dibuka lagi di Kalimantan Timur, tepatnya di kota Samarinda, pada tahun 2018. Dibangun dengan 6 lantai dan berkapasitas 190 tempat tidur.                                                                                                                                                                                       VISI                                                                                                                                                                                                                                                                                                                                                                                                                                              Untuk menjadikan perusahaan yang mengoperasikan
jaringan rumah sakit yang tumbuh, sehat dan
berumur panjang
MISI                                                                                                                                                                                                                                                                                                                                                                                                                                        1.Untuk melakukan upaya berkelanjutan dalam memperluas jaringan Rumah Sakit dan meningkatkan kualitas jaringan Rumah Sakitnya dengan menambahkan  lebih banyak spesialisasi dan layanan
2.Untuk mempromosikan Departemen Perusahaan sebagai penggagas, fasilitator,  koordinator, penyelia, dan penasihat dalam mendukung jaringan Rumah Sakit
3.Untuk mengelola Perusahaan secara profesional untuk memberikan eﬁsiensi dan  efektivitas yang lebih besar, serta rasio keuangan yang sehat
4.Untuk melakukan pengembangan sumber daya manusia untuk menciptakan eksekutif  yang profesional dan loyal, dengan meneruskan sistem dan nilai-nilai Perusahaan dengan  lancar ke generasi berikutnya

"
18,Hermina Serpong,Serpong,BANTEN,"Hermina Serpong, Buaran, South Tangerang City, Banten, Indonesia",-6.346619599999999,106.6856743,,"
RS Hermina Serpong adalah salah satu rumah sakit yang berada di wilayah Kota Tangerang selatan, yang merupakan bagian dari jasa kesehataan di bawah naungan Hermina Hospitals Group. RS Hermina Serpong cabang ke-18 dari seluruh RS Hermina di Nusantara. 
RS Hermina Serpong Dibangun pada tahun 2013 dengan 5 lantai dengan kapasitas 100 tempat tidur, rumah sakit ini berada di lokasi strategis dan di area Puspitek Serpong yang sangat cepat perkembangannya.
"
20,Hermina Solo,Solo,JAWA TENGAH,"RS Hermina, Jalan Kolonel Sutarto, Jebres, Surakarta City, Central Java, Indonesia",-7.5600346,110.8402085,,"Terletak di jalur protokol Jl. Kolonel Sutarto, RS Hermina Solo mulai beroperasi pada tahun 2014 berlantai 6 dengan 100 tempat tidur. Rumah sakit ini memiliki fasilitas Fetomaternal, Hemodialisis, Thalassemia, dan KTK."
47,Hermina Soreang,https://herminahospitals.com/id/branch/hermina-soreang,JAWA BARAT,"Jl. Al-Fathu No.9, Pamekaran, Kec. Soreang, Kabupaten Bandung, Jawa Barat",-7.031593,107.526767,,"Kami dibangun untuk melayani dan didirikan untuk membangun. RS Hermina Soreang merupakan Rumah Sakit Hermina yang ke 44. Letak Rumah Sakit Hermina Soreang ada di Jalan Terusan Al Fathu no. 9, Sarilamping, Kelurahan Soreang, Kecamatan Soreang, Kabupaten Bandung, Provinsi Jawa Barat 40911. Sebagai salah satu rumah sakit swasta yang melayani kesehatan anak dan dewasa dan memberikan pelayanan yang aman dan bermutu bagi Sahabat Hermina dan keluarga. Pelayanan Rumah Sakit yang bermutu adalah pelayanan yang Aman, Rasional efektif, Efisien dan memberikan kenyamanan bagi pasien.

"
10,Hermina Sukabumi,Sukabumi,JAWA BARAT,"RS Hermina Sukabumi, Jalan Raya Sukaraja, Sukaraja, Sukabumi, West Java, Indonesia",-6.9178384,106.9616136,,"RSU. Hermina Sukabumi dibangun pada tahun 2007 dan dekat dengan kawasan hunian terkemuka di Sukabumi, RSU Hermina Sukabumi menawarkan layanan berkualitas untuk pasien dengan produk - produk pelayanan Umum, Ibu, dan Anak. Lokasi rumah sakit yang mudah ditemukan dengan akses strategis di jalan utama Sukaraja ini memiliki 165 tempat tidur, dan didukung fasilitas pelayanan ICU, NICU, PICU, Perinatology, Kemoterapi, KTK dan Bobath. Rumah sakit ini juga berusaha untuk menerapkan manajemen standar kualitas untuk konsistensi pemeliharaan, kualitas, sistem, efisiensi, produktivitas dan standar layanan."
11,Hermina Tangerang,Tangerang,BANTEN,"RS HERMINA TANGERANG, Jl. Ks. Tubun, RT.002/RW.001, Pasar Baru, Kota Tangerang, Banten, Indonesia",-6.1694727,106.6267022,,"Rumah Sakit Hermina Tangerang adalah anggota ke-11 dari jaringan Rumah Sakit Hermina Hospital Group. Beroperasi sejak tahun 2008, rumah sakit ini memberikan layanan-layanan medis yang sesuai dengan perkembangan terkini.
Rumah Sakit Hermina Tangerang berusaha untuk meningkatkan kualitas kesehatan masyarakat kawasan Karawaci, Tangerang dan sekitarnya dengan layanan-layanan unggulannya, seperti Hemodialisis, Kemoterapi, Klinik Tumbuh Kembang (KTK),ICU, NICU, Perina, hingga Gigi Spesialistik.  Rumah Sakit Hermina Tangerang telah menerima Quality Standard Achievement pada 2017, yang menunjukkan kinerja terbaiknya dalam memberikan pelayanan bagi pasien dan pertumbuhan pasien rawat inap yang pesat sejak 2012. "
9,Hermina Tangkuban Perahu,Tangkuban Perahu,JAWA TIMUR,"Rumah Sakit Hermina Tangkubanprahu, Jalan Tangkuban Perahu, Kauman, Malang City, East Java, Indonesia",-7.9780737,112.6245237,,"Emisi Otoakustik (OAE) telah digunakan secara luas untuk membantu pendengaran bayi yang baru lahir, termasuk di RS Hermina Tangkubanprahu. Layanan ini secara klinis sangat penting sebagai dasar pengujian sederhana dan non-invasif terhadap kelainan pendengaran pada bayi baru lahir dan anak-anak yang belum dapat menerima tes pendengaran secara konvensional. OAE adalah produk unggulan di rumah sakit ini sejak pendiriannya pada tahun 2006, dengan dukungan fasilitas KTK."
48,Hermina Tasikmalaya,https://herminahospitals.com/id/branch/hermina-tasikmalaya,JAWA BARAT,"Jl. Ir. H. Djuanda No. 7a, Kel. Cipedes, Kec. Cipedes, Kota Tasikmalaya, Jawa Barat",-7.30873671778971,108.20284769425956,,"RS Hermina Tasikmalaya adalah Rumah Sakit ke-45 dari Hermina Hospitals Group yang telah diresmikan pada tanggal 29 Oktober 2022. Beralamatkan di Jl. Ir H. Juanda No 7A, RT 03, RW 14, Kel. Cipedes, Kec. Cipedes, Kota Tasikmalaya. Sebagai sebuah rumah sakit bertipe C, Hermina Tasikmalaya memiliki 111  tempat tidur operasional mulai dari kelas 3 hingga Suite Room. Layanan yang tersedia berupa poliklinik rawat jalan (pelayanan konsultasi dokter spesialis dan sub spesialis, pelayanan unggulan seperti klinik tumbuh kembang, perinatologi, ICU/NICU/PICU dan gigi spesialistik, pelayanan klinik khusus seperti klinik laktasi serta pelayanan gawat darurat IGD 24 jam), rawat inap (perawatan kebidanan dan penyakit kandungan, anak dan umum, perawatan perinatologi dan pelayanan intensif), laboratorium, radiologi, farmasi serta fasilitas umum penunjang lainnya. Sebagai salah satu rumah sakit swasta di wilayahnya, maka sistem pelayanan kesehatan RS Hermina Tasikmalaya harus memiliki kemampuan pelayanan yang bisa diandalkan dan bermutu. Pelayanan Rumah sakit yang bermutu adalah pelayanan yang Aman, Rasional efektif, Efisien (murah) dan memberikan kenyamanan bagi pasien.



























"
49,Hermina Wonogiri,https://herminahospitals.com/id/branch/hermina-wonogiri,JAWA TENGAH,"Jl. Raya Wonogiri-Ponorogo No.KM. 5, Jatibedug, Purworejo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",-7.8170619,110.9684506,,
22,Hermina Yogya,Yogya,DI YOGYAKARTA,"Hermina Yogya Hospital, Jalan Selokan Mataram, RT.06/RW.50, Meguwo, Maguwoharjo, Sleman Regency, Special Region of Yogyakarta, Indonesia",-7.7702542,110.4327726,,"RS Hermina Yogya berlokasi di Jalan Selokan Mataram RT 06 RW 50, Gondangan, Ringinsari, Maguwoharjo, Depok, Sleman, DIY
RS Hermina Yogya merupakan RS cabang ke 22 dari 53 cabang yang ada di Indonesia
RS Hermina Yogya merupakan RS tipe C dengan jumlah 81 dokter spesialis dan subspesialis 
RS Hermina Yogya memiliki jumlah tempat tidur sebanyak 118 Tempat Tidur
"
52,Independent RS UBAYA  Managed by Hermina,https://herminahospitals.com/id/branch/rs-ubaya,JAWA TIMUR,"Jl. Raya Panjang Jiwo Permai No.87 89, Panjang Jiwo, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299",-7.3142028,112.7657777,,"Pemilik:
PT Keluwih Medika Surabaya
Rumah sakit dikelola dengan sistem manajemen yang mengacu pada standar RS Hermina Group oleh karena RS Ubaya merupakan anggota Perkumpulan Hermina Group dengan Luas tanah: 13.049,64 m2 dan Luas bangunan: 27.791,39 m2"
14,RS Hermina Galaxy,Galaxy,JAWA BARAT,"Hermina Galaxy Hospital, Jalan Pulo Sirih Barat Raya, RT.003/RW.017, Jaka Setia, Bekasi City, West Java, Indonesia",-6.2687439,106.9722028,,"RS Hermina Galaxy diresmikan pada tahun 2011 yang terletak di Jl. Gardenia Raya Blok BA I No. 11 Grand Galaxy City Bekasi, dengan kapasitas 120 tempat tidur dan didukung dengan fasilitas ICU, PICU, NICU, CT Scan, Treadmill, Echocardiography, Klinik Tumbuh Kembang Anak, Gigi Spesialistik, Fetomaternal, Rheumatology, Klinik Mata Anak dan Strabismus, serta layanan IGD 24 Jam. "
58,RS Hermina PIK Dua,RS Hermina PIK Dua,DKI JAKARTA,"Jl. Raya Boulevard Osaka, Kelurahan Salembaran Jaya, Kecamatan Kosambi, Kabupaten Tangerang, Banten 15214",-6.058323533158381,106.68019199840778,,"Rumah Sakit Hermina PIK Dua hadir sebagai pilihan terpercaya dalam memberikan layanan kesehatan di kawasan Pantai Indah Kapuk 2 dan sekitarnya. Dengan komitmen untuk menyediakan pelayanan medis yang profesional, ramah, dan terjangkau, kami mendukung setiap langkah kesehatan Anda bersama tim medis yang berpengalaman dan fasilitas yang lengkap.  

Mengutamakan kenyamanan pasien dan keluarga, RS Hermina PIK Dua dilengkapi dengan teknologi medis mutakhir serta ruang perawatan yang nyaman. Kami siap melayani berbagai kebutuhan kesehatan Anda, mulai dari pemeriksaan rutin hingga layanan gawat darurat 24 jam dengan penuh perhatian dan dedikasi.
"
53,RSU Hermina Aceh,Aceh,ACEH,"Jalan Soekarno Hatta, Kab. Aceh Besar, Aceh",5.511678,95.3441234,,"Rumah Sakit Hermina Aceh di bangun 4 lantai dengan total luas 8.290,95 m2, luas parkir yang mampu menampung mobil sebanyak 59 unit mobil dan 130 unit motor. Saat ini jumlah tempat tidur yang dapat dikembangkan menjadi 50 TT yang terdiri dari Kamar Deluxe, Kamar Kelas I, Kamar Kelas II, dan Kamar Kelas III, kami mempunyai keinginan menjadikan Rumah Sakit Hermina Aceh sebagai salah satu Rumah Sakit Rujukan terutama untuk pelayanan emergency, ibu & anak, dan perinatologi

Dilengkapi dengan fasilitas ruang IGD, OK, ICU, PICU/NICU, VK dan penunjang medis berupa Farmasi, Laboratorium, dan Radiologi, serta pengelola limbah cair (IPAL), gardu travo listrik PLN tersendiri dan genset. RS Hermina Aceh dikelola dengan standar manajemen pelayanan medis, manajemen keperawatan, manajemen logistik, manajemen personalia, manajemen keuangan dan manajemen operasional yang didukung dengan SIMRS standar RS di dalam grup Hermina. Tujuan standarisasi manajemen tersebut agar tercapai tingkat efisiensi dan efektifitas yang tinggi dalam waktu yang cepat untuk pasien Pribadi, Asuransi, maupun Penjaminan Perusahaan. 
 Fasilitas :                                                      
Farmasi
Fisioterapi
Gigi Spesialistik
Klinik Tumbuh Kembang (KTK)
Laboratorium
ICU
NICU
PICU (Unit Perawatan Intensif Anak)
Perinatologi
USG
X-Ray Konvensional
Ventilator"
